building_id,building_name,zone_id,building_type,owner_name,address,lat,lon,status
B265,El-Karma Hospital,Z4,Hospital,Salma Ali,28 South Investors Area,30.026791,31.504864,Under Maintenance
B266,Villa 87,Z2,Residential,Youssef Hassan,12 North Investors Area,30.017841,31.517627,Active
B267,Villa 200,Z5,Residential,Salma Ali,12 Mostafa Kamel Axis,30.029046,31.518793,Active
B268,Downtown Mall,Z3,Mall,Salma Ali,65 Mostafa Kamel Axis,30.036211,31.490487,Active
B269,Delta Tower,Z3,Commercial,Mona Abdelaziz,1 El Sadat Axis,30.030963,31.48341,Under Maintenance
B270,Misr Tower,Z3,Commercial,Tarek El Shenawy,60 North Investors Area,30.026073,31.494183,Active
B271,Concorde Mall,Z4,Mall,Amr Diab,83 North Investors Area,30.027536,31.503427,Active
B272,Cleopatra Hospital,Z5,Hospital,Salma Ali,50 El Sadat Axis,30.036338,31.518222,Active
B273,Delta Tower,Z2,Commercial,Fatima Zahra,60 El Sadat Axis,30.013764,31.50038,Active
B274,Misr Tower,Z1,Commercial,Salma Ali,34 El Zohour District,30.0246,31.497702,Active
B275,Misr Tower,Z2,Commercial,Mohamed Adel,45 El Choueifat St.,30.017557,31.517547,Active
B276,Concorde Mall,Z4,Mall,Fatima Zahra,23 Mostafa Kamel Axis,30.030868,31.504965,Active
B277,Villa 3,Z4,Residential,Hassan El Shafei,90 El Zohour District,30.037417,31.5,Active
B278,Delta Tower,Z4,Commercial,Amr Diab,60 Mostafa Kamel Axis,30.032855,31.5097,Active
B279,Villa 32,Z1,Residential,Tarek El Shenawy,58 El Sadat Axis,30.023269,31.498468,Active
B280,Villa 186,Z4,Residential,Khaled El Masry,75 El Teseen St.,30.030579,31.501204,Active
B281,El-Fouad Hospital,Z2,Hospital,Khaled El Masry,3 El Sadat Axis,30.024181,31.501538,Active
B282,Villa 25,Z3,Residential,Khaled El Masry,77 El Zohour District,30.029588,31.490948,Active
B283,Villa 141,Z5,Residential,Tarek El Shenawy,89 El Choueifat St.,30.036611,31.51789,Planned
B284,Cleopatra Hospital,Z3,Hospital,Mohamed Adel,64 Mostafa Kamel Axis,30.030263,31.484265,Planned
B285,Cairo Tower,Z3,Commercial,Khaled El Masry,27 South Investors Area,30.039438,31.48473,Active
B286,Concorde Mall,Z4,Mall,Ahmed Mahmoud,25 North Investors Area,30.036201,31.508531,Active
B287,Villa 103,Z1,Residential,Fatima Zahra,71 Gamal Abdel Nasser Axis,30.01101,31.482343,Active
B288,Villa 61,Z3,Residential,Mariam Ahmed,38 South Investors Area,30.026296,31.481145,Active
B289,Villa 40,Z3,Residential,Salma Ali,96 North Investors Area,30.030308,31.481977,Active
B290,Cairo Tower,Z3,Commercial,Aya Mohamed,90 Gamal Abdel Nasser Axis,30.037519,31.486615,Active
B291,Cairo Tower,Z5,Commercial,Tarek El Shenawy,43 El Choueifat St.,30.035213,31.510624,Active
B292,Villa 13,Z3,Residential,Ahmed Mahmoud,39 South Investors Area,30.032832,31.4941,Under Maintenance
B293,El-Fouad Hospital,Z5,Hospital,Ahmed Mahmoud,18 North Investors Area,30.036339,31.51413,Active
B294,Cairo Tower,Z4,Commercial,Amr Diab,73 El Zohour District,30.038935,31.497783,Active
B295,Future School,Z3,Educational,Aya Mohamed,22 El Choueifat St.,30.03095,31.48445,Planned
B296,El-Karma Hospital,Z3,Hospital,Ali Ibrahim,2 El Zohour District,30.030858,31.484998,Active
B297,El-Karma Hospital,Z2,Hospital,Omar Khaled,3 Gamal Abdel Nasser Axis,30.020303,31.501092,Active
B298,Delta Tower,Z1,Commercial,Mohamed Adel,64 Gamal Abdel Nasser Axis,30.020321,31.489514,Active
B299,Villa 46,Z4,Residential,Omar Khaled,22 Mostafa Kamel Axis,30.038345,31.504333,Active
B300,Modern School,Z3,Educational,Mariam Ahmed,100 El Choueifat St.,30.038108,31.485769,Active
